"","K032.Euro.per.ha","gdp.nrw.bn.Euro"
"1970",187.399467542764,NA
"1971",201.789269947103,NA
"1972",179.616497574761,NA
"1973",269.832803537358,NA
"1974",260.832487848893,NA
"1975",225.737782020736,NA
"1976",299.951880323573,NA
"1977",238.884290434004,NA
"1978",262.620443426322,NA
"1979",263.259758977747,NA
"1980",297.530886632638,NA
"1981",290.943110267467,NA
"1982",279.314211649684,NA
"1983",278.199968988028,NA
"1984",304.243003522709,NA
"1985",309.091476504481,NA
"1986",306.565639447661,NA
"1987",304.664300892951,NA
"1988",358.405190175788,NA
"1989",348.724457889517,NA
"1990",485.011403741095,NA
"1991",249.061672521887,NA
"1992",287.379345186555,NA
"1993",274.695997286023,NA
"1994",291.724733370013,NA
"1995",362.410558507243,NA
"1996",321.591441573805,NA
"1997",324.264958874594,NA
"1998",411.12011940818,NA
"1999",332.590896707643,NA
"2000",275.72750304994,NA
"2001",266.627329850286,NA
"2002",251.045916018428,NA
"2003",289.006233568259,NA
"2004",295.459501499656,NA
"2005",308.578456681534,NA
"2006",379.120812366857,NA
"2007",701.071102017551,NA
"2008",495.14607810771,NA
"2009",356.730146605276,NA
"2010",384.894410899619,NA
"2011",432.035483735166,NA
"2012",445.638019394596,NA
"2013",434.908089902516,NA
"2014",430.58573477705,NA
"2015",453.252394423732,NA
"2016",395.443392769245,NA
